2025-06-15 14:00:08 | mandelbrot-codex.py | easy | avg_compute_time=0.3487s
2025-06-15 14:00:17 | mandelbrot-numba-parallel.py | easy | avg_compute_time=0.0715s
2025-06-15 14:00:24 | mandelbrot-numba.py | easy | avg_compute_time=0.0549s
2025-06-15 14:01:46 | mandelbrot-rust.py | easy | avg_compute_time=0.0121s
2025-06-15 14:01:55 | mandelbrot-vanilla.py | easy | avg_compute_time=0.7756s
2025-06-15 14:02:08 | mandelbrot-numpy.py | easy | avg_compute_time=0.1642s
2025-06-15 14:04:11 | mandelbrot-numpy.py | easy | avg_compute_time=0.2073s
2025-06-15 14:04:16 | mandelbrot-numpy.py | easy | avg_compute_time=0.2090s
2025-06-15 14:04:23 | mandelbrot-rust.py | easy | avg_compute_time=0.0133s
2025-06-15 14:05:29 | mandelbrot-parallel.py | easy | avg_compute_time=0.5554s
2025-06-15 14:07:03 | mandelbrot-rust.py | hard | avg_compute_time=0.8883s
2025-06-15 14:07:55 | mandelbrot-parallel.py | medium | avg_compute_time=0.9956s
2025-06-15 14:09:26 | mandelbrot-codex.py | medium | avg_compute_time=0.6966s
2025-06-15 14:09:38 | mandelbrot-numba-parallel.py | medium | avg_compute_time=0.1163s
2025-06-15 14:11:17 | mandelbrot-rust.py | medium | avg_compute_time=0.0388s
2025-06-15 14:11:30 | mandelbrot-numba-parallel.py | medium | avg_compute_time=0.0825s
2025-06-15 14:11:44 | mandelbrot-numpy.py | medium | avg_compute_time=0.6610s
2025-06-15 14:23:16 | mandelbrot-codex.py | medium | avg_compute_time=0.6354s
2025-06-15 14:28:52 | mandelbrot-codex.py | medium | avg_compute_time=0.8687s
2025-06-15 14:28:52 | mandelbrot-rust.py | medium | avg_compute_time=0.0595s
2025-06-15 14:28:52 | mandelbrot-numba-parallel.py | medium | avg_compute_time=0.0772s
2025-06-15 14:28:52 | mandelbrot-numba.py | medium | avg_compute_time=0.2214s
2025-06-15 14:28:52 | mandelbrot-numpy.py | medium | avg_compute_time=0.7836s
2025-06-15 14:28:52 | mandelbrot-vanilla.py | medium | avg_compute_time=5.4128s
2025-06-15 14:31:56 | mandelbrot-codex.py | medium | avg_compute_time=0.8337s
2025-06-15 14:31:56 | mandelbrot-rust.py | medium | avg_compute_time=0.0555s
2025-06-15 14:31:56 | mandelbrot-numba-parallel.py | medium | avg_compute_time=0.0739s
2025-06-15 14:31:56 | mandelbrot-numba.py | medium | avg_compute_time=0.2120s
2025-06-15 14:31:56 | mandelbrot-numpy.py | medium | avg_compute_time=0.7891s
2025-06-15 14:31:56 | mandelbrot-vanilla.py | medium | avg_compute_time=5.1373s
2025-06-15 14:36:13 | mandelbrot-rust.py | hard | avg_compute_time=1.8535s
2025-06-15 14:36:13 | mandelbrot-numba-parallel.py | hard | avg_compute_time=1.0137s
2025-06-15 14:36:13 | mandelbrot-numba.py | hard | avg_compute_time=6.9339s
2025-06-15 14:39:55 | mandelbrot-torch.py | hard | avg_compute_time=20.4354s
2025-06-15 14:40:58 | mandelbrot-torch.py | hard | avg_compute_time=39.7602s
2025-06-15 14:42:53 | mandelbrot-torch.py | medium | avg_compute_time=4.5091s
2025-06-15 14:44:47 | mandelbrot-torch.py | medium | avg_compute_time=5.3086s
2025-06-15 14:45:36 | mandelbrot-metal.py | medium | avg_compute_time=0.0032s
2025-06-15 14:46:17 | mandelbrot-numba.py | medium | avg_compute_time=0.0850s
2025-06-15 14:46:42 | mandelbrot-vanilla.py | medium | avg_compute_time=3.2489s
2025-06-15 14:47:06 | mandelbrot-parallel.py | medium | avg_compute_time=1.1078s
2025-06-15 14:47:13 | mandelbrot-rust.py | medium | avg_compute_time=0.0292s
2025-06-15 14:47:27 | mandelbrot-metal.py | medium | avg_compute_time=0.0057s
2025-06-15 14:48:11 | mandelbrot-numba.py | hard | avg_compute_time=3.0877s
2025-06-15 14:49:46 | mandelbrot-metal.py | hard | avg_compute_time=0.0255s
2025-06-15 14:51:20 | mandelbrot-metal.py | hard | avg_compute_time=0.0187s
2025-06-15 14:58:20 | mandelbrot-numba-parallel.py | hard | avg_compute_time=0.8656s
2025-06-15 14:58:33 | mandelbrot-parallel.py | medium | avg_compute_time=1.0399s
2025-06-15 14:58:43 | mandelbrot-metal.py | medium | avg_compute_time=0.0044s
2025-06-15 15:08:39 | mandelbrot-parallel.py | easy | avg_compute_time=0.5827s
2025-06-15 15:08:52 | mandelbrot-metal.py | easy | avg_compute_time=0.0026s
2025-06-15 15:08:58 | mandelbrot-codex.py | easy | avg_compute_time=0.2395s
2025-06-15 15:09:05 | mandelbrot-parallel.py | easy | avg_compute_time=0.6433s
2025-06-15 15:09:13 | mandelbrot-vanilla.py | easy | avg_compute_time=1.0213s
2025-06-15 15:12:01 | mandelbrot-rust.py | easy | avg_compute_time=0.0118s
2025-06-15 15:21:03 | mandelbrot-metal.py | easy | avg_compute_time=0.0038s
2025-06-15 15:21:22 | mandelbrot-metal.py | hard | avg_compute_time=0.0260s
